,fromAddress,CNT_DEX_TX,TOTAL_DEX_OUT,MIN_BLOCK_ANALYZED,MAX_BLOCK_ANALYZED,FREQ_CNT_DEX_TX,MAX_DEX_OUT,CNT_UNISWAP_OUT,SUM_UNISWAP_OUT,CNT_KYBER_OUT,SUM_KYBER_OUT,CNT_DXDY_OUT,SUM_DXDY_OUT,CNT_nan_OUT,SUM_nan_OUT,CNT_BALANCER_OUT,SUM_BALANCER_OUT,CNT_DEX_AG_OUT,SUM_DEX_AG_OUT,CNT_AIRSWAP_OUT,SUM_AIRSWAP_OUT,CNT_TOTLE_OUT,SUM_TOTLE_OUT,CNT_ONE_INCH_OUT,SUM_ONE_INCH_OUT,CNT_PARASWAP_V2_OUT,SUM_PARASWAP_V2_OUT,CNT_BINANCE_OUT,SUM_BINANCE_OUT,ADDRESS_CATEGORY
28,0XA30D997A1D64CC31E5FEEA9F336DF0A133C74B97,438,60466.274110098966,10795007,12599836,4120,2196.577220767,0,0.0,0,0.0,0,0.0,0,0,83,0,0,0.0,0,0,0,0.0,7,0,0,0.0,348,60466.274110098966,PRIVILEGE
29,0X86904E32B0D7A8E1AB4DC4A02BAE7FF93E9A2D33,597,54850.55385895703,12100390,12692108,991,12728.305450822,0,0.0,0,0.0,0,0.0,0,0,143,0,0,0.0,0,0,0,0.0,202,0,0,0.0,252,54850.55385895703,PRIVILEGE
30,0X3707D769466EFC53BF22F4B636FA72C63C2AFB70,193,46693.42729058996,6606736,12688967,31514,3619.993467377,0,0.0,0,0.0,0,0.0,0,0,26,0,0,0.0,0,0,0,0.0,48,0,0,0.0,119,46693.42729058996,PRIVILEGE
31,0X027DFF68C06D39E1C274B359C4DC269EB40D2C19,439,46138.45782382794,10812159,12691220,4280,1411.44,0,0.0,0,0.0,0,0.0,0,0,104,0,0,0.0,0,0,0,0.0,1,0,0,0.0,334,46138.45782382794,PRIVILEGE
32,0X3178B39CDE153C851796CBA961F9775DF7787D63,911,43343.996991404056,6593109,12689544,6692,314.51421872000003,0,0.0,0,0.0,0,0.0,0,0,16,0,0,0.0,0,0,0,0.0,0,0,0,0.0,895,43343.996991404056,PRIVILEGE
33,0X593065A46A507DC0DA5146020EFC1476067AAB8C,578,43066.72546794998,10876697,12692855,3142,1307.308413565,0,0.0,0,0.0,0,0.0,0,0,168,0,0,0.0,0,0,0,0.0,217,0,0,0.0,193,43066.72546794998,PRIVILEGE
34,0X91F554ADBD461E6F23DB511E64D6416E2ED09CD5,1713,36614.116578618,10635151,12688902,1198,258.0,1708,36614.116578618,0,0.0,0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,1,0,3,0.0,0,0.0,PRIVILEGE
35,0X0E24AADCFD8933B6D6191620C0658011366D667B,211,33250.93040676208,11308843,12636236,6290,1750.272280594249,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,11,0,0,0.0,1,0,0,0.0,199,33250.93040676208,PRIVILEGE
36,0X6B7AC46D09D2ADF4CEBE2995EBF9D97E13E9E257,559,29846.689533647586,11607218,12676261,1912,3066.9842810637165,555,29846.689533647586,0,0.0,0,0.0,0,0,4,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PRIVILEGE
37,0XC72AED14386158960D0E93FECB83642E68482E4B,1312,26291.76588029722,10318459,12647754,1775,3811.0076138580657,1235,23914.76588029722,0,0.0,64,2377.0,0,0,0,0,0,0.0,0,0,0,0.0,13,0,0,0.0,0,0.0,PRIVILEGE
38,0X100A35E2A5DB50F26F67B8290251ED1159A461B6,133,25931.481994410908,4151336,12650894,63906,905.0271872663108,0,0.0,0,0.0,0,0.0,0,0,29,0,0,0.0,0,0,0,0.0,1,0,0,0.0,103,25931.481994410908,PRIVILEGE
39,0XA305FAB8BDA7E1638235B054889B3217441DD645,369,25730.305612010994,12213830,12525745,845,9512.312156356,0,0.0,0,0.0,0,0.0,0,0,94,0,0,0.0,89,0,0,0.0,0,0,0,0.0,186,25730.305612010994,PRIVILEGE
40,0X4F58985B75EEC8F14C536878A19EADF4A1960D6C,713,24405.04335535688,10659428,12677372,2830,2834.656415542268,672,24405.04335535688,0,0.0,0,0.0,0,0,28,0,0,0.0,0,0,1,0.0,10,0,2,0.0,0,0.0,PRIVILEGE
41,0XEFBBB0509993AB9B751F9AB137C77C20E7273A97,274,23400.42269421351,8522962,12664946,15116,308.99503156494285,0,0.0,0,0.0,0,0.0,0,0,43,0,0,0.0,0,0,0,0.0,2,0,0,0.0,229,23400.42269421351,PRIVILEGE
42,0XF8B0BF1198CF82B1446A9E353F77DC37204E657E,333,22870.944484516687,10058615,12675913,7859,1650.293531413,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,15,0,0,0.0,318,22870.944484516687,PRIVILEGE
43,0X3733E403164A3DC9234AFC393610B96530DB37D0,529,22132.127903349498,10820808,12672718,3500,1519.612145942972,526,22132.127903349498,0,0.0,2,0.0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,PRIVILEGE
44,0X61FD0D043D519F5A2BD05785000F30DB96809429,7368,21284.808828144818,11597341,12692447,148,95.08870965548711,7365,21284.808828144818,0,0.0,0,0.0,0,0,0,0,0,0.0,1,0,0,0.0,2,0,0,0.0,0,0.0,PRIVILEGE
45,0X55E1490A1878D0B61811726E2CB96560022E764C,1264,18749.601499162054,10304768,12601360,1816,1090.3832603603912,1254,18688.972019697343,0,0.0,0,0.0,0,0,4,0,2,60.62947946470924,0,0,0,0.0,4,0,0,0.0,0,0.0,PLATINUM
46,0XF3C75FA889FD17C0E4B48AB212815046080ED3EA,1232,18010.657654155937,10615459,12691713,1685,331.00281206843954,1227,18010.657654155937,0,0.0,0,0.0,0,0,1,0,0,0.0,4,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
47,0X200BC46BE9433A09D20946B4F5BDC90E449CB418,56,17346.617451917147,4617590,12508248,140904,2393.003684568,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,1,0,0,0.0,4,0,0,0.0,51,17346.617451917147,PLATINUM
48,0XE6C486EB5F5CC2C64B53AB6C3942986D648C9B89,583,16630.730076368796,10416352,12638259,3811,463.0,578,16630.730076368796,0,0.0,0,0.0,0,0,4,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,PLATINUM
49,0XA14964479EBF9CD336011AD80652B08CD83DFE3A,1378,16562.949361974323,10946175,12653167,1238,545.0,1373,16562.949361974323,0,0.0,0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,4,0,0,0.0,0,0.0,PLATINUM
50,0XBC90B3CE40FC3ED921D910F3E046C65954FFF7CB,521,15569.20934044701,4378213,12691556,15956,1796.2119353769608,502,15274.654835156673,0,0.0,6,294.5545052903384,0,0,7,0,0,0.0,2,0,0,0.0,4,0,0,0.0,0,0.0,PLATINUM
51,0XE8AF68B101AA287C85859BF1AAA81DA0C4CD9CA7,5506,14958.297274870873,12374099,12692788,57,29.463857342082598,5506,14958.297274870873,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
52,0XE8A28D1985BD13AE6940AF5C6AA21FABE0126E55,200,14945.435164735007,11850472,12651916,4007,5069.889905089,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,200,14945.435164735007,PLATINUM
53,0X38E481367E0C50F4166AD2A1C9FDE0E3C662CFBA,567,14872.934476550652,10607033,12689302,3672,1178.1693713903926,505,14872.934476550652,0,0.0,0,0.0,0,0,50,0,0,0.0,0,0,0,0.0,12,0,0,0.0,0,0.0,PLATINUM
54,0XC640CABA272414689B21EBCD60D97B912359504D,3206,14794.828622613117,9233467,12691490,1078,352.76,1712,9709.853849677362,1414,5084.974772935755,0,0.0,0,0,7,0,0,0.0,67,0,0,0.0,6,0,0,0.0,0,0.0,PLATINUM
55,0X537BF75DE19F3D229E3A9018EE1A23C0C9C7D39C,593,14553.639810361643,10313720,12575862,3814,1001.7519930560466,568,11734.639810361643,0,0.0,17,2719.0,0,0,4,0,0,0.0,0,0,0,0.0,3,0,1,100.0,0,0.0,PLATINUM
56,0X1407C9D09D1603A9A5B806A0C00F4D3734DF15E0,2318,14290.076993936527,10698125,12686646,857,500.0,2242,9521.613327877525,0,0.0,0,0.0,0,0,3,0,0,0.0,0,0,0,0.0,3,0,70,4768.4636660589995,0,0.0,PLATINUM
