,blockNumber,timestamp_iso8601,timestamp_unixtime,redeemer,redeemAmount,redeemTokens
0,12810661,2021-07-12T05:50:21Z,1626069021,0x61e6f93264c406e018d0556f035e45e43a9ca3c2,192860374672500848,949718818
0,12810461,2021-07-12T05:02:44Z,1626066164,0x925564259644c661c0403dd6f91af1293c4c67b4,1924195799572934113,9475489127
0,12810364,2021-07-12T04:41:40Z,1626064900,0x10f71c0a6b45c9b792d570b0a2cb389a38a9d3ac,6103504863315512785,30056045139
0,12810338,2021-07-12T04:36:26Z,1626064586,0xaf2490e2e0bd8fd6cffa53cef38483986e1a69b8,1000001440246533071,4924398709
0,12810153,2021-07-12T03:54:34Z,1626062074,0x0d6af0a4fcd387182ca106270794d81477f6dffd,11513963772912606510,56699307512
0,12809649,2021-07-12T02:01:20Z,1626055280,0xbfd011afe4b326817db13df58f0dea7188154aac,99000000000000000000,487516077640
0,12809220,2021-07-12T00:19:08Z,1626049148,0x72b93c58b8d356b07e5ec62523432d892659a926,85810085963360616,422564331
0,12808963,2021-07-11T23:20:37Z,1626045637,0xc152d3350828dba43f054090e78666156d2ff6bc,10339532683864100790,50916186375
0,12808892,2021-07-11T23:08:14Z,1626044894,0x008b09c232b799d6b39d45f18c571f9a25c93ad9,2925346469694432651,14405634588
0,12808615,2021-07-11T22:06:18Z,1626041178,0x4d49ba377922e179c3c682c66f709fa84e54797a,274816398222942764,1353312906
0,12808419,2021-07-11T21:18:03Z,1626038283,0x4586d1a0324dabd5ee2f2d28d35945ee27892ff4,346430000000000000000,1705970138145
0,12808196,2021-07-11T20:31:05Z,1626035465,0xe929744bcc075c066ccee1e4d1a1d13d595f5666,126486212212121646,622873017
0,12807859,2021-07-11T19:19:34Z,1626031174,0xa5f8e65136e03e34a11d4b7ef5069aff814f703b,22660712845905815401,111591342182
0,12807405,2021-07-11T17:37:11Z,1626025031,0x7bcb7cd11bb2b3a0937f15372efe983cb168a357,2397258052524900836,11805177812
0,12806913,2021-07-11T15:52:20Z,1626018740,0x279b7bae9d1e145c1af8d56d09c12c4ece557b6f,835985726137893205602,4116778399974
0,12806780,2021-07-11T15:21:57Z,1626016917,0x1ff921dd5750db07feb5e5ff5995aba964cb4c5c,1156249413259453437,5693907281
0,12806514,2021-07-11T14:25:04Z,1626013504,0x508e101d8ea449eac7d882fb9aeeba215a2845cc,191822565321545551,944624130
0,12806472,2021-07-11T14:14:43Z,1626012883,0xf190ddf248512338b31d2be9465036e8cec9b564,1526509121883483186,7517246982
0,12806461,2021-07-11T14:11:59Z,1626012719,0x9a3c2061ee81ce9712f91b70289599b7478917d0,38321013316037042,188710654
