,blockNumber,timestamp_iso8601,timestamp_unixtime,liquidator,borrower,repayAmount,cTokenCollateral,seizeTokens
0,11258737,2020-11-14T23:00:06Z,1605394806,0x6780846518290724038e86c98a1e903888338875,0xbff32156e0c940662e6d430d79964a92862070f5,25061092484258325346,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,36463911292
0,11253009,2020-11-14T02:01:28Z,1605319288,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,62212368042998,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,84115
0,11245605,2020-11-12T22:45:24Z,1605221124,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,124380191145229,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,151033
0,11234997,2020-11-11T07:38:04Z,1605080284,0x6780846518290724038e86c98a1e903888338875,0x4814be124d7fe3b240eb46061f7ddfab468fe122,3207827963716019275,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,1891631075362
0,11233313,2020-11-11T01:25:22Z,1605057922,0x6780846518290724038e86c98a1e903888338875,0xbdeb184b2596e6e80306289eb4c52f1253ba720a,19469198081052240928,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,738118457
0,11223393,2020-11-09T12:51:01Z,1604926261,0x6780846518290724038e86c98a1e903888338875,0xbdeb184b2596e6e80306289eb4c52f1253ba720a,72999999999999997771,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,86847107199
0,11153406,2020-10-29T18:46:11Z,1603997171,0x6780846518290724038e86c98a1e903888338875,0x42829b066e3b3d7e5596e4baae86ac8a8d5e566d,8999999999999999497,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,12568583834
0,11137350,2020-10-27T07:54:37Z,1603785277,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xbff32156e0c940662e6d430d79964a92862070f5,31479698574021965164,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,47541824832
0,11136474,2020-10-27T04:46:01Z,1603773961,0x5ea500df65f2486655b57b691a626e6822a799e9,0x6ae21cd82f19a5a6bcd204932a40bd6943729dee,5994776144220070212,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,8787904622
0,11136454,2020-10-27T04:42:25Z,1603773745,0xc799ce4b85580567a79e9c30f8b2f2e05b6f49f7,0x6ae21cd82f19a5a6bcd204932a40bd6943729dee,19950990061748546,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,29213885
0,11082036,2020-10-18T20:16:50Z,1603052210,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,158922603309771,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,246404
0,11078956,2020-10-18T08:55:14Z,1603011314,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,285000407257727,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,443288
