,blockNumber,timestamp_iso8601,timestamp_unixtime,payer,borrower,repayAmount,accountBorrows,totalBorrows
0,11784754,2021-02-03T17:57:28Z,1612375048,0x09f1b4c0a59494f2c695924bcc4b9ce698f22233,0x09f1b4c0a59494f2c695924bcc4b9ce698f22233,5006959806096915623,0,90741587352771054151986
0,11781252,2021-02-03T04:54:28Z,1612328068,0x4c6ab26af01b63b0c421f569c569d65bbb2b3a97,0x4c6ab26af01b63b0c421f569c569d65bbb2b3a97,1052000000000000000000,3163040469437253120841,89451346216750412325392
0,11779902,2021-02-02T23:56:49Z,1612310209,0x7f29af7083031878450380fec8c8ab7d485d7344,0x7f29af7083031878450380fec8c8ab7d485d7344,279534000000000000000,1844256235569906683263,90498258058569718834865
0,11776876,2021-02-02T12:44:48Z,1612269888,0xb203df26af3666f4214661f7f903c46edf9403b0,0xb203df26af3666f4214661f7f903c46edf9403b0,9849166689224658249,0,90766074938464377366091
0,11769436,2021-02-01T09:11:23Z,1612170683,0x4deb3edd991cfd2fcdaa6dcfe5f1743f6e7d16a6,0x4deb3edd991cfd2fcdaa6dcfe5f1743f6e7d16a6,4998016193948320558782,11311568802175806853996,85271557699618265730383
0,11767948,2021-02-01T03:27:12Z,1612150032,0x6780846518290724038e86c98a1e903888338875,0x4918151bfa7ad842f6f941aaac4052b671580bdb,496036210140087410287,2586427307194096873795,89608128212924838823533
0,11767307,2021-02-01T01:14:36Z,1612142076,0xac6559df1f410feba9a6cbf395272189461d8463,0xac6559df1f410feba9a6cbf395272189461d8463,703183350898722627531,0,89891540471283540086188
0,11767068,2021-02-01T00:27:15Z,1612139235,0xe02031edb0cdb7439041578fbbca9a93ded60910,0xe02031edb0cdb7439041578fbbca9a93ded60910,9183817736372599120,0,90593669630162237322764
0,11766494,2021-01-31T22:25:34Z,1612131934,0x7f29af7083031878450380fec8c8ab7d485d7344,0x7f29af7083031878450380fec8c8ab7d485d7344,149086000000000000000,2122498041619703209400,90600320995459919585796
0,11765485,2021-01-31T18:41:32Z,1612118492,0xe02031edb0cdb7439041578fbbca9a93ded60910,0xe02031edb0cdb7439041578fbbca9a93ded60910,5889244610148935758,9183109679296996813,90694947154356744863908
0,11765148,2021-01-31T17:29:51Z,1612114191,0x7f29af7083031878450380fec8c8ab7d485d7344,0x7f29af7083031878450380fec8c8ab7d485d7344,159113592831930230265,2271435089696463839360,90599348072850587200286
0,11764193,2021-01-31T13:57:41Z,1612101461,0xe0b48ba48a60122f30510b5cfab6aa7dd9c69cc3,0xe0b48ba48a60122f30510b5cfab6aa7dd9c69cc3,769496700000000000,33899485517671505,90754206835071660193474
0,11763375,2021-01-31T10:54:25Z,1612090465,0xe0b48ba48a60122f30510b5cfab6aa7dd9c69cc3,0xe0b48ba48a60122f30510b5cfab6aa7dd9c69cc3,1208647110000000000,803363919395825920,90751331416377236918230
0,11759712,2021-01-30T21:37:28Z,1612042648,0x32e00ba0370f63eb157d7222e36a36705ff9ac5b,0x32e00ba0370f63eb157d7222e36a36705ff9ac5b,230000000000000000000,863290746282996,89968709470457518536089
0,11759410,2021-01-30T20:28:04Z,1612038484,0x4c6ab26af01b63b0c421f569c569d65bbb2b3a97,0x4c6ab26af01b63b0c421f569c569d65bbb2b3a97,799000000000000000000,4210801477344692883287,89967447073769164899554
0,11759244,2021-01-30T19:51:34Z,1612036294,0xb9d706430e316952b9855db5d74f593b52404831,0xb9d706430e316952b9855db5d74f593b52404831,440300000000000000,1907882136282022732,90765733114758545580352
0,11755311,2021-01-30T05:08:37Z,1611983317,0x6780846518290724038e86c98a1e903888338875,0xb9d706430e316952b9855db5d74f593b52404831,2347685733970633074,2347744278015542049,90749248526892136229153
0,11753860,2021-01-29T23:50:06Z,1611964206,0xedee75d6a09b5f084c8eb0fdfa57212772948721,0xedee75d6a09b5f084c8eb0fdfa57212772948721,869888872050201548684,0,89957380093773577304392
0,11746563,2021-01-28T20:46:19Z,1611866779,0x6780846518290724038e86c98a1e903888338875,0xb9d706430e316952b9855db5d74f593b52404831,4693346719278756288,4693456918800343136,90795355846597530303957
0,11740021,2021-01-27T20:31:21Z,1611779481,0x78ec7da4e93be83429d6cd313c21c32904bf88bc,0x78ec7da4e93be83429d6cd313c21c32904bf88bc,14009376356719565094,0,90771141607864576928477
0,11731998,2021-01-26T15:01:59Z,1611673319,0xcd574ff8204df4626a354ea0eb898f8fc377d259,0xcd574ff8204df4626a354ea0eb898f8fc377d259,164925081980991011,0,90723429546370608341455
0,11730865,2021-01-26T10:53:49Z,1611658429,0x506bf27c20d5e1608c43f044d9cf982fb0164123,0x506bf27c20d5e1608c43f044d9cf982fb0164123,51307217183100126264,0,90718344244674700614485
0,11725186,2021-01-25T13:35:20Z,1611581720,0x08658ed3d0ce25f9f2736886669f7b1fc46c1168,0x08658ed3d0ce25f9f2736886669f7b1fc46c1168,25981410214641633843,0,90730302576725130667825
0,11723040,2021-01-25T05:50:27Z,1611553827,0x78b58e4197c04d320a33c582ecc3e7e885f26a58,0x78b58e4197c04d320a33c582ecc3e7e885f26a58,409399170301539539092,0,90356735160077318715290
0,11721290,2021-01-24T23:21:58Z,1611530518,0x633c4a45c75e18ec5a4a4d60d5995e7ece082676,0x633c4a45c75e18ec5a4a4d60d5995e7ece082676,25010208360758553673,0,90758275936522423090670
0,11719947,2021-01-24T18:26:32Z,1611512792,0xf9768bfed50b506c5536188af0fdd8d0190a847e,0xf9768bfed50b506c5536188af0fdd8d0190a847e,545471662583905678,0,90777203196541751917810
0,11710708,2021-01-23T08:21:29Z,1611390089,0x6780846518290724038e86c98a1e903888338875,0x4c6ab26af01b63b0c421f569c569d65bbb2b3a97,1395672333603392771136,3308098707389688778297,89384286513449680549572
0,11703535,2021-01-22T05:53:11Z,1611294791,0x3288338837dc90afbb81a93e5a9c3c5688436e10,0x3288338837dc90afbb81a93e5a9c3c5688436e10,48093492377643849473,0,90643626367063181346852
0,11703392,2021-01-22T05:17:28Z,1611292648,0x691d4172331a11912c6d0e6d1a002e3d7ced6a66,0x691d4172331a11912c6d0e6d1a002e3d7ced6a66,120340000000000000000,0,88891065030555440482807
0,11703024,2021-01-22T03:57:52Z,1611287872,0xac6559df1f410feba9a6cbf395272189461d8463,0xac6559df1f410feba9a6cbf395272189461d8463,1750000000000000000000,2933330903027828383,89009733276792643051665
0,11700611,2021-01-21T19:08:16Z,1611256096,0x187f4db433475240a524a75cae57b4a6fc36dcc4,0x187f4db433475240a524a75cae57b4a6fc36dcc4,214352569250488509960,0,90571381247376417940903
0,11700579,2021-01-21T19:01:46Z,1611255706,0x187f4db433475240a524a75cae57b4a6fc36dcc4,0x187f4db433475240a524a75cae57b4a6fc36dcc4,1000000000000000000,214352210789779807471,90785581996107106792441
0,11691343,2021-01-20T09:04:28Z,1611133468,0xf9a359bdae3c262d3b2d87822d25c0c13be86947,0xf9a359bdae3c262d3b2d87822d25c0c13be86947,210229608853140392778,0,90547930920108253591655
0,11687379,2021-01-19T18:32:49Z,1611081169,0x68c88fe8fee367d64fab809621c44dadf9bec2b7,0x68c88fe8fee367d64fab809621c44dadf9bec2b7,331992340222008036142,0,90429041343300832919074
0,11686065,2021-01-19T13:41:16Z,1611063676,0xf69977a3a9c862c290c3f9f158a75629213e4593,0xf69977a3a9c862c290c3f9f158a75629213e4593,604202694178499702,0,90754659061176257834417
0,11680788,2021-01-18T18:11:52Z,1610993512,0x14e9e9f0a8d9bac4cad8c1ce339826f42924e542,0x14e9e9f0a8d9bac4cad8c1ce339826f42924e542,5008274586660445619607,0,85776165752580203604438
0,11678370,2021-01-18T09:13:49Z,1610961229,0x681bd23f6128db3f9b8914595d1a63830a6212fa,0xee939206d8bebd8d8d4e057641ac7a9c76c0b4cb,999330214681362829,1019537157807467952,90772662069444457235451
0,11674459,2021-01-17T18:54:14Z,1610909654,0xbefb4fecd83185d358b891f12eda1c20fdba9c20,0xbefb4fecd83185d358b891f12eda1c20fdba9c20,2029647105483730015,0,90754546560636736394631
0,11673300,2021-01-17T14:38:12Z,1610894292,0x66a6684edc043c17c4ff07fac81b04599e469706,0x66a6684edc043c17c4ff07fac81b04599e469706,4706578757932258873,0,90750897940941399874989
