,blockNumber,A3E8E4_ACCRUEINTEREST_cashPrior,A3E8E4_ACCRUEINTEREST_interestAccumulated,A3E8E4_ACCRUEINTEREST_borrowIndex,A3E8E4_ACCRUEINTEREST_totalBorrows,A3E8E4_FAILURE_error,A3E8E4_FAILURE_info,A3E8E4_FAILURE_detail,A3E8E4_APPROVAL_owner,A3E8E4_APPROVAL_spender,A3E8E4_APPROVAL_amount,A3E8E4_BORROW_borrower,A3E8E4_BORROW_borrowAmount,A3E8E4_BORROW_accountBorrows,A3E8E4_BORROW_totalBorrows,A3E8E4_MINT_minter,A3E8E4_MINT_mintAmount,A3E8E4_MINT_mintTokens,A3E8E4_REDEEM_redeemer,A3E8E4_REDEEM_redeemAmount,A3E8E4_REDEEM_redeemTokens,A3E8E4_TRANSFER_fromAddress,A3E8E4_TRANSFER_toAddress,A3E8E4_TRANSFER_amount,A3E8E4_REPAYBORROW_payer,A3E8E4_REPAYBORROW_borrower,A3E8E4_REPAYBORROW_repayAmount,A3E8E4_REPAYBORROW_accountBorrows,A3E8E4_REPAYBORROW_totalBorrows,ABDD52_TRANSFER_fromAddress,ABDD52_TRANSFER_toAddress,ABDD52_TRANSFER_value
43,11940216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x159a29b0440CDFd973Edf8ce9877b7540aAE01cE,0xBa19f8747a5d25e54c1B4713472778b14b823ad6,750000000000000000
44,11940242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x783F6565d97fAe93AD0625b8FeD2Cd1c0C881083,0x443fdB73B81242605334f95BA5e67a42F68512bc,150000000000000000
45,11940389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x3a0921b274a5fd38755E3e6007f4B0B7EE191a53,0xEb4C3bf80440aB7BC12Ed2E9016fC86d32b764c5,250000000000000000
46,11940766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc463FE44AB3C63fBC5Fee44477E30f687B2af2ab,0x437f35Ee8D435BB343aE359D0f1E9fcB950672D1,300000000000000000
47,11941475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x6660fdF0484B052a61d93De18200d69a49109361,0x261bff345Ed93ffC3a53221596F6EA5e4CCee032,100000000000000000
48,11941500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x008B2ea6AdAe457f82115B2135398fa3c751151b,0xd3D157EAd8d9BA586Bd379EbC454DF7CE0886d94,144643299520000000000
49,11941629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xCb3C623255FF15c3eEeF6B165D7A09A0d7A211d0,0x66E186f272c8e69965272b89F3975a3beED283Ed,169101610000000000
50,11941754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x3E307cA3f7F24dD980De22F8B629455a2c9DF8a1,0x8b02d681307F3A27fcC166Bf677682bD02d0EE6A,12430000000000000000
51,11941788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x94305b0883869A956Daf8dF8b69b343805370d53,0x11Ed44acbA147812dcbA0C8317dAA07153Ac9a33,3799073480000000000
52,11942215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x46F3E6976007731788572cE90f8589E9e46bdFf8,0xAdbEEAba05CFCB7B2eae996bCB6d81928F134994,700000000000000000
53,11942496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x82Ff07428178dA517091E877c01567aDa6Ff6fA5,0xf50571A42CC1C72eA86BA04e7f1F70010F8D5eac,1000000000000000000
54,11942652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x82Ff07428178dA517091E877c01567aDa6Ff6fA5,0xf50571A42CC1C72eA86BA04e7f1F70010F8D5eac,173000000000000000000
55,11942746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x46F3E6976007731788572cE90f8589E9e46bdFf8,0xe4c73c05927d562F191B20a40661B35F8D8bd66D,20000000000000000
56,11942792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x46F3E6976007731788572cE90f8589E9e46bdFf8,0xe4c73c05927d562F191B20a40661B35F8D8bd66D,100000000000000000
57,11942862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xC21fE9b129C2CD5863c012c427D94400C7973f69,0x1354AA92b469038A9311688F22aCCbDF38fdB591,150000000000000000
58,11943002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x41a1147f275B9C48e7Bd0e3728A02a9a1e036A77,0x0e3EC4b50164B67e709Ff97ee2A3865E01F2dDF5,100000000000000000
59,11943584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xbA6Ad74EdB1941Cb866804496804012424A47bE7,0x990e0a1CAAF27772664Fd1CC1a891DD310c57Ea2,490000000000000000000
60,11944020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xAeEc6f5aCA72F3A005af1B3420ab8c8c7009BaC8,0xd73535D0a37B6DaCD2ed7e70d6d24EE9F291A806,781081080000000000
61,11944036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x551b2ef5b2d55cC9E1C7a62e9E14Cb11aD587eC5,0x610a037c643Ed13b06b1900086DbD77048c6763B,150000000000000000
62,11944305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xdBEF72E52487CfB45C31E239B8192487f2df60ae,0xa3E66CB91595685419A49B44c93febF3bB12a972,219019885000000000000
63,11944518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xe69Bee1d88b6330C7eC6c1f9904C402cC71adE44,0xE1C96B6d631a92b7c9092e042bE28e8AE6b7cdE6,100000000000000000
64,11944596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xe69Bee1d88b6330C7eC6c1f9904C402cC71adE44,0xE1C96B6d631a92b7c9092e042bE28e8AE6b7cdE6,6420000000000000000
65,11944663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x93E13838061987950B6D84C95a4e7B8934198241,0xbe14d93cFA8D021FfA36f11DAc8602843796d6Da,106920291600000000000
66,11945054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x700b10c75987B0D29d81dbA85A19cb3bCc5aca01,0xC8204EFb691428239020F239A5C446AC4be40B43,100000000000000000
67,11945060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x3d8cD4ED9c7749B45F45dEB2c73dF782512CFB7E,0x17048Ba9151169394fCCD381dF12e40CeC0C295D,124000000000000000000
68,11945074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x95fA001BA3CCe8A1A6Ac6D6Cf6fBd91D4a18A10f,0x11d4Df4A435F8d1D090fF2C0806f1C8E6932F4F3,150000000000000000
69,11945342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x6F7779166AF078aaB2F3BE26013fA45804051203,0x94C1d94fC9fF5b4Aebc4230Bd7eA96802CC42c6a,4000000000000000000
70,11945805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x46F3E6976007731788572cE90f8589E9e46bdFf8,0x039Cc3F9f47EB15fFe75247D4578D08a9a73360d,39348000000000000000
71,11945891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xEe95670122Bd2D1f48fD6F681B93739aD893171e,0x1Ce15b1B32b9883158A83c28F38EB797d2C5A617,2025318500000000000
72,11946166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xF2b0cC2c3C98c8b16e3C3A36FD719009d2EDe929,0xacEa7574da502807CAaD6234540B643AF80D7169,10622383600000000000
73,11946243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x2A79F7AEF752bD23F87F7C4164A9Ef811d6Ba31e,0xf2585717dfE3C05089417a8adbD8D8aE490587b4,240000000000000000
